time_sec,n1,n2,n3
380.469,0.440,-0.310,-0.270
381.250,-0.060,-0.870,-0.620
382.031,-1.410,-0.590,-0.960
382.812,-1.290,0.530,-0.770
383.594,-0.530,1.180,-0.650
384.375,0.200,1.480,-0.460
385.156,1.490,0.790,-0.190
385.938,1.480,-0.780,-0.010
386.719,0.420,-1.730,0.260
387.500,-0.570,-1.710,0.710
388.281,-0.580,-1.160,1.030
389.062,-0.260,-0.610,0.870
389.844,0.060,-0.310,0.410
390.625,-0.370,-0.190,-0.130
391.406,-0.700,0.350,-0.280
392.188,-0.250,0.770,-0.030
392.969,-0.150,1.040,0.090
393.750,0.540,1.040,0.350
394.531,0.850,0.460,0.450
395.312,0.630,0.090,0.400
396.094,0.800,-0.640,0.210
396.875,-0.250,-1.190,-0.040
397.656,-1.140,-0.510,0.240
398.438,-0.440,0.270,-0.050
399.219,0.090,0.350,-0.480
400.000,0.250,0.040,-0.680
400.781,-0.250,-0.020,-0.570
401.562,-0.530,0.300,-0.160
402.344,-0.390,0.590,-0.180
403.125,0.300,0.480,-0.350
403.906,0.350,-0.010,-0.500
404.688,-0.170,-0.110,-0.310
405.469,-0.100,0.070,-0.350
406.250,-0.380,0.410,-0.450
407.031,0.130,0.830,-0.020
407.812,0.930,0.740,0.350
408.594,1.360,0.040,0.550
409.375,0.660,-0.880,0.480
410.156,-0.670,-0.760,0.340
410.938,-0.990,0.030,0.510
411.719,-0.420,0.120,0.580
412.500,0.080,-0.400,0.320
413.281,0.160,-1.020,-0.060
414.062,-0.400,-0.910,-0.340
414.844,-0.470,-0.270,-0.220
415.625,0.060,-0.050,0.010
416.406,0.440,-0.090,0.110
417.188,0.430,-0.170,0.330
417.969,0.290,-0.300,0.560
418.750,0.120,-0.400,0.170
419.531,-0.510,-0.140,0.030
420.312,-0.370,0.330,0.200
421.094,-0.170,0.580,-0.040
421.875,-0.020,0.640,-0.210
422.656,0.140,0.610,-0.220
423.438,0.570,0.390,-0.310
424.219,0.000,0.120,-0.520
425.000,-0.590,0.820,-0.420
425.781,0.180,0.980,-0.240
426.562,0.310,0.180,-0.500
427.344,-0.430,-0.150,-1.160
428.125,-1.090,0.560,-1.330
428.906,-0.050,1.200,-0.840
429.688,1.380,-0.020,-0.050
430.469,1.370,-1.580,0.580
431.250,0.360,-2.120,0.730
432.031,-0.560,-1.630,0.890
432.812,-1.070,-0.730,0.950
433.594,-0.990,0.310,0.880
434.375,-0.200,1.010,0.800
435.156,0.440,0.890,0.660
435.938,0.310,0.670,0.600
436.719,0.140,0.630,0.690
437.500,0.250,0.670,0.540
438.281,0.920,0.040,0.180
439.062,0.240,-0.950,-0.290
439.844,-0.920,-0.840,-0.230
440.625,-0.540,-0.340,-0.100
441.406,0.230,-0.280,-0.540
442.188,0.440,-0.780,-0.940
442.969,-0.520,-0.630,-0.830
443.750,-0.390,0.180,-0.630
444.531,-0.150,0.580,-0.490
445.312,0.100,0.710,-0.100
446.094,0.440,0.340,0.110
446.875,0.220,0.070,-0.080
447.656,-0.180,0.160,-0.510
448.438,-0.240,0.400,-0.320
449.219,0.610,0.020,-0.200
450.000,0.480,-0.640,-0.320
450.781,-0.450,-0.640,-0.140
451.562,-0.770,-0.050,-0.020
452.344,-0.340,0.400,0.190
453.125,0.310,0.490,0.330
453.906,0.660,0.380,0.200
454.688,0.560,0.070,0.220
455.469,0.320,-0.200,0.490
456.250,0.060,-0.470,0.650
457.031,-0.530,-0.390,0.530
457.812,-0.840,0.160,0.390
458.594,-0.830,0.630,0.510
459.375,-0.560,0.970,0.340
460.156,0.040,1.000,0.180
460.938,0.810,0.420,0.010
461.719,1.150,-0.540,-0.370
462.500,0.420,-0.930,-0.030
463.281,0.180,-0.690,0.200
464.062,-0.570,-0.410,0.340
464.844,-0.490,0.360,0.410
465.625,0.300,0.280,-0.450
466.406,0.010,-0.200,-0.880
